2026-07-24 23:01:58,295 | INFO     | __main__ | Starting PortfolioLab
2026-07-24 23:01:58,297 | INFO     | __main__ | Application initialized successfully
2026-07-25 13:50:54,222 | INFO     | portfolio_lab.datasource.yahoo_provider | Downloading AAPL from Yahoo Finance
2026-07-25 13:53:13,433 | INFO     | portfolio_lab.datasource.yahoo_provider | Downloading AAPL from Yahoo Finance
2026-07-25 13:53:14,523 | INFO     | portfolio_lab.datasource.yahoo_provider | Downloaded 252 candles.
2026-07-25 13:53:30,300 | INFO     | portfolio_lab.datasource.yahoo_provider | Downloading AAPL from Yahoo Finance
2026-07-25 13:53:31,481 | INFO     | portfolio_lab.datasource.yahoo_provider | Downloaded 252 candles.
2026-07-25 13:54:27,525 | INFO     | portfolio_lab.datasource.yahoo_provider | Downloading AAPL from Yahoo Finance
2026-07-25 13:54:28,682 | INFO     | portfolio_lab.datasource.yahoo_provider | Downloaded 252 candles.
2026-07-25 13:58:18,486 | INFO     | portfolio_lab.datasource.yahoo_provider | Downloading AAPL from Yahoo Finance
2026-07-25 13:58:19,652 | INFO     | portfolio_lab.datasource.yahoo_provider | Downloaded 252 candles.
2026-07-25 13:58:36,830 | INFO     | portfolio_lab.datasource.yahoo_provider | Downloading AAPL from Yahoo Finance
2026-07-25 13:58:37,563 | INFO     | portfolio_lab.datasource.yahoo_provider | Downloaded 252 candles.
2026-07-25 13:59:28,214 | INFO     | portfolio_lab.datasource.yahoo_provider | Downloading AAPL from Yahoo Finance
2026-07-25 13:59:31,295 | INFO     | portfolio_lab.datasource.yahoo_provider | Downloaded 252 candles.
2026-07-25 13:59:48,140 | INFO     | portfolio_lab.datasource.yahoo_provider | Downloading AAPL from Yahoo Finance
2026-07-25 13:59:50,580 | INFO     | portfolio_lab.datasource.yahoo_provider | Downloaded 252 candles.
2026-07-25 14:33:34,005 | INFO     | portfolio_lab.datasource.yahoo_provider | Downloading AAPL from Yahoo Finance
2026-07-25 14:33:35,106 | INFO     | portfolio_lab.datasource.yahoo_provider | Downloaded 252 candles.
2026-07-25 14:40:06,804 | INFO     | portfolio_lab.datasource.yahoo_provider | Downloading AAPL from Yahoo Finance
2026-07-25 14:40:08,004 | INFO     | portfolio_lab.datasource.yahoo_provider | Downloaded 252 candles.
2026-07-25 14:40:08,006 | INFO     | portfolio_lab.datasource.yahoo_provider | Downloading AAPL from Yahoo Finance
2026-07-25 14:40:08,054 | INFO     | portfolio_lab.datasource.yahoo_provider | Downloaded 252 candles.
2026-07-25 14:43:09,696 | INFO     | portfolio_lab.datasource.yahoo_provider | Downloading AAPL from Yahoo Finance
2026-07-25 14:43:10,851 | INFO     | portfolio_lab.datasource.yahoo_provider | Downloaded 252 candles.
2026-07-25 14:43:10,860 | INFO     | portfolio_lab.datasource.yahoo_provider | Downloading AAPL from Yahoo Finance
2026-07-25 14:43:10,894 | INFO     | portfolio_lab.datasource.yahoo_provider | Downloaded 252 candles.
2026-07-25 14:53:55,751 | INFO     | portfolio_lab.datasource.yahoo_provider | Downloading AAPL from Yahoo Finance
2026-07-25 14:54:00,524 | INFO     | portfolio_lab.datasource.yahoo_provider | Downloaded 252 candles.
2026-07-25 14:54:00,524 | INFO     | portfolio_lab.datasource.yahoo_provider | Downloading AAPL from Yahoo Finance
2026-07-25 14:54:00,580 | INFO     | portfolio_lab.datasource.yahoo_provider | Downloaded 252 candles.
2026-07-25 19:07:53,866 | INFO     | portfolio_lab.datasource.yahoo_provider | Downloading AAPL from Yahoo Finance
2026-07-25 19:07:55,573 | INFO     | portfolio_lab.datasource.yahoo_provider | Downloaded 252 candles.
2026-07-25 19:07:55,580 | INFO     | portfolio_lab.datasource.yahoo_provider | Downloading AAPL from Yahoo Finance
2026-07-25 19:07:55,624 | INFO     | portfolio_lab.datasource.yahoo_provider | Downloaded 252 candles.
2026-07-25 19:08:52,155 | INFO     | portfolio_lab.datasource.yahoo_provider | Downloading AAPL from Yahoo Finance
2026-07-25 19:08:54,292 | INFO     | portfolio_lab.datasource.yahoo_provider | Downloaded 252 candles.
2026-07-25 19:08:54,292 | INFO     | portfolio_lab.datasource.yahoo_provider | Downloading AAPL from Yahoo Finance
2026-07-25 19:08:54,347 | INFO     | portfolio_lab.datasource.yahoo_provider | Downloaded 252 candles.
2026-07-25 19:10:10,192 | INFO     | portfolio_lab.datasource.yahoo_provider | Downloading AAPL from Yahoo Finance
2026-07-25 19:10:12,017 | INFO     | portfolio_lab.datasource.yahoo_provider | Downloaded 252 candles.
2026-07-25 19:10:12,036 | INFO     | portfolio_lab.datasource.yahoo_provider | Downloading AAPL from Yahoo Finance
2026-07-25 19:10:12,082 | INFO     | portfolio_lab.datasource.yahoo_provider | Downloaded 252 candles.
